student_id,class_name,subject,score,ai_tool_used,study_hours,record_date
S0689,UG Year 3,Database Systems,60.1,True,5.0,2024-08-18
S0360,PG Year 2,Data Science,57.9,True,6.9,2022-07-18
S0385,Class 11B,Math,67.1,False,5.3,2023-03-15
S0489,UG Year 3,Machine Learning,60.9,False,5.2,2023-11-20
S0636,UG Year 3,Machine Learning,54.3,False,6.0,2022-07-26
S0752,Class 9A,Math,60.4,True,1.8,2024-04-30
S1114,Class 6A,Geography,78.9,True,2.9,2024-05-20
S0794,UG Year 1,English,69.7,True,8.6,2025-04-21
S1064,PG Year 1,Machine Learning,62.3,True,7.2,2022-08-19
S0074,UG Year 3,Statistics,85.6,True,9.7,2024-07-03
S0268,Class 9A,Math,45.8,False,2.0,2025-01-14
S0572,Class 11B,English,59.7,True,2.6,2024-04-09
S0438,UG Year 1,Computer Science,42.3,False,3.3,2024-08-19
S0427,Class 9A,Biology,70.0,False,4.9,2024-05-07
S0434,UG Year 4,Project Work,69.0,True,6.8,2024-05-02
S0777,Class 6B,Geography,67.0,True,3.5,2023-11-29
S0271,Class 9B,Math,55.1,False,3.0,2025-03-29
S0309,UG Year 1,Economics,66.9,True,3.3,2024-04-18
S0098,Class 11B,Chemistry,59.4,False,5.5,2022-06-04
S0726,Class 9B,Physics,64.9,True,1.9,2023-01-13
S1175,Class 11A,Physics,56.0,False,4.7,2022-09-14
S0723,Class 11B,Physics,69.1,True,6.3,2024-03-10
S0319,Class 6A,English,79.1,True,3.1,2022-06-29
S1100,Class 6B,History,64.8,False,4.1,2022-11-27
S0091,Class 6A,English,69.2,True,4.1,2022-11-06
S0635,PG Year 1,Research Methods,68.5,True,8.8,2022-11-14
S0274,UG Year 1,Statistics,75.7,True,8.5,2024-11-21
S0870,Class 9B,Physics,49.7,False,2.6,2025-03-23
S0147,UG Year 1,Economics,50.3,False,4.5,2022-06-08
S0072,UG Year 1,Statistics,47.1,False,3.8,2025-05-20
S0987,Class 9A,English,53.4,False,6.4,2024-11-21
S0183,Class 9A,English,49.4,False,2.9,2023-03-10
S0141,Class 9B,Chemistry,63.7,False,4.8,2023-10-20
S0676,UG Year 2,Computer Science,63.5,True,6.0,2024-09-22
S0764,Class 6A,English,74.7,True,4.6,2023-06-23
S0358,UG Year 4,Data Science,72.0,True,9.5,2025-03-29
S0469,Class 6B,History,69.3,False,1.1,2023-02-13
S1105,Class 9B,Math,81.3,True,4.6,2024-06-06
